locality_id,year,pland_08,pland_09,pland_13,pland_02,pland_04,pland_00,pland_11,pland_05,pland_10,pland_01,pland_12,pland_14,pland_15,pland_03,pland_06
L1045117,2011,0.05,0.35,0.6,0,0,0,0,0,0,0,0,0,0,0,0
L1045117,2013,0.1,0.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0
L1045117,2016,0.15,0.25,0.6,0,0,0,0,0,0,0,0,0,0,0,0
L1045117,2019,0.15,0.25,0.6,0,0,0,0,0,0,0,0,0,0,0,0
L1047700,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L1047700,2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L1048211,2015,0.2857142857142857,0,0,0,0.5238095238095238,0.047619047619047616,0,0.14285714285714285,0,0,0,0,0,0,0
L1048373,2011,0.8947368421052632,0.10526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0
L1048373,2014,0.8947368421052632,0.10526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0
L1049675,2016,0,0,0,0,0,0.6842105263157895,0.3157894736842105,0,0,0,0,0,0,0,0
L1049675,2017,0,0,0,0,0,0.6842105263157895,0.3157894736842105,0,0,0,0,0,0,0,0
L1049675,2018,0,0,0,0,0,0.6842105263157895,0.3157894736842105,0,0,0,0,0,0,0,0
L1049675,2019,0,0,0,0,0,0.6842105263157895,0.3157894736842105,0,0,0,0,0,0,0,0
L1050200,2011,0.1,0,0.15,0,0,0.55,0.15,0,0.05,0,0,0,0,0,0
L1050200,2014,0.1,0,0.15,0,0,0.55,0.15,0,0.05,0,0,0,0,0,0
L1050200,2017,0.1,0,0.15,0,0,0.55,0.15,0,0,0,0,0,0.05,0,0
L1050200,2018,0.1,0,0.15,0,0,0.55,0.1,0,0.05,0,0,0,0.05,0,0
L1050200,2019,0.1,0,0.15,0,0,0.55,0.1,0,0.05,0,0,0,0.05,0,0
L1050323,2012,0,0.19047619047619047,0,0,0,0,0,0,0.047619047619047616,0,0.7619047619047619,0,0,0,0
L1050372,2012,0.2631578947368421,0.10526315789473684,0,0,0,0,0,0,0.05263157894736842,0,0.5789473684210527,0,0,0,0
L1051636,2011,0.8571428571428571,0.047619047619047616,0,0,0.09523809523809523,0,0,0,0,0,0,0,0,0,0
L1051810,2017,0.5,0.1111111111111111,0,0,0,0,0,0,0.3888888888888889,0,0,0,0,0,0
L1053355,2016,0.14285714285714285,0.7619047619047619,0.09523809523809523,0,0,0,0,0,0,0,0,0,0,0,0
L1053913,2014,0.3157894736842105,0,0.6842105263157895,0,0,0,0,0,0,0,0,0,0,0,0
L1053986,2013,0.23809523809523808,0.5714285714285714,0.14285714285714285,0,0.047619047619047616,0,0,0,0,0,0,0,0,0,0
L1054202,2014,0,0.42857142857142855,0,0,0,0,0,0,0.3333333333333333,0,0.047619047619047616,0.19047619047619047,0,0,0
L1054202,2015,0,0.3333333333333333,0,0,0,0,0,0,0.5238095238095238,0,0,0.14285714285714285,0,0,0
L1055730,2018,0.6842105263157895,0,0,0.3157894736842105,0,0,0,0,0,0,0,0,0,0,0
L1056097,2010,0.7894736842105263,0,0,0,0.21052631578947367,0,0,0,0,0,0,0,0,0,0
L1056097,2012,0.7894736842105263,0,0,0,0.21052631578947367,0,0,0,0,0,0,0,0,0,0
L1056097,2013,0.7894736842105263,0,0,0,0.21052631578947367,0,0,0,0,0,0,0,0,0,0
L1056097,2017,0.7894736842105263,0,0,0,0.21052631578947367,0,0,0,0,0,0,0,0,0,0
L1056097,2018,0.7368421052631579,0,0,0,0.2631578947368421,0,0,0,0,0,0,0,0,0,0
L1056097,2019,0.7368421052631579,0,0,0,0.2631578947368421,0,0,0,0,0,0,0,0,0,0
L1057526,2012,0,0,0.5238095238095238,0,0,0.23809523809523808,0.19047619047619047,0,0,0,0,0,0.047619047619047616,0,0
L1057919,2013,0,0,0.3157894736842105,0,0,0.42105263157894735,0.2631578947368421,0,0,0,0,0,0,0,0
L1059100,2014,0.21052631578947367,0,0.7894736842105263,0,0,0,0,0,0,0,0,0,0,0,0
L1061775,2015,0,0,0,0,0,0.8095238095238095,0,0,0,0,0,0,0.19047619047619047,0,0
L1065548,2018,0.95,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
L1065548,2019,0.95,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
